"speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3"
"JBS","약","","","고유어1","","","H(H)","부산",60,"여",1,"ㅇ","ㅑ","ㄱ"," "," ",""," "," ","","","","","공명음","dp","폐음절_평파열음","","","","","","","","",""
"JBS","값","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄱ","ㅏ","ㅄ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","해","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅎ","ㅐ",""," "," ",""," "," ","","","","","마찰음","sg","개음절","","","","","","","","",""
"JBS","빛","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅂ","ㅣ","ㅊ"," "," ",""," "," ","","","","","평파열음_평파찰음","","폐음절_평파열음","","","","","","","","",""
"JBS","일","","","고유어1","1","","L","부산",60,"여",1,"ㅇ","ㅣ","ㄹ"," "," ",""," "," ","","","","","공명음","","폐음절_공명자음","","","","","","","","",""
"JBS","장","","","고유어1","","","L","부산",60,"여",1,"ㅈ","ㅏ","ㅇ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","화","","","고유어1","1","","L","부산",60,"여",1,"ㅎ","ㅘ",""," "," ",""," "," ","","","","","마찰음","dp","개음절","","","","","","","","",""
"JBS","팔","","","고유어1","1","","H","부산",60,"여",1,"ㅍ","ㅏ","ㄹ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","풀","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅍ","ㅜ","ㄹ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","달","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄷ","ㅏ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","꿈","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄲ","ㅜ","ㅁ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","손","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㅅ","ㅗ","ㄴ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","곰","","","고유어1","1","","L","부산",60,"여",1,"ㄱ","ㅗ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","차","","","고유어1","","","H","부산",60,"여",1,"ㅊ","ㅏ",""," "," ",""," "," ","","","","","유기음_경음","sg","개음절","","","","","","","","",""
"JBS","묵","","","고유어1","1","","H","부산",60,"여",1,"ㅁ","ㅜ","ㄱ"," "," ",""," "," ","","","","","공명음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","통","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㅌ","ㅗ","ㅇ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","딸","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄸ","ㅏ","ㄹ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","날","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄴ","ㅏ","ㄹ"," "," ",""," "," ","","","","","공명음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","씨","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅆ","ㅣ",""," "," ",""," "," ","","","","","마찰음","","개음절","","","","","","","","",""
"JBS","대","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄷ","ㅐ",""," "," ",""," "," ","","","","","평파열음_평파찰음","sg","개음절","","","","","","","","",""
"JBS","심","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅣ","ㅁ"," "," ",""," "," ","","","","","마찰음","","폐음절_공명자음","","","","","","","","",""
"JBS","띠","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㄸ","ㅣ",""," "," ",""," "," ","","","","","유기음_경음","","개음절","","","","","","","","",""
"JBS","섬","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅓ","ㅁ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","문","","","고유어1","","","H","부산",60,"여",1,"ㅁ","ㅜ","ㄴ"," "," ",""," "," ","","","","","공명음","sg","폐음절_공명자음","","","","","","","","",""
